lat,long,freq
40.7455904,+AC0-92.8649061,1
34.5008311,+AC0-117.1858759,2
42.2570634,+AC0-123.1682392,1
45.196906,+AC0-96.019767,1
44.2613967,+AC0-88.4069744,4
10.226478,+AC0-67.3281395,1
35.5778272,+AC0-98.9645311,1
10.5798051,+AC0-64.2577338,1
34.1362075,+AC0-118.0401497,7
27.2244502,+AC0-81.8610527344,1
32.5490406,+AC0-92.920158,2
39.0959435,+AC0-76.4288485,1
40.866517,+AC0-124.08284,2
41.5211332,+AC0-84.3065469,1
38.4816813,+AC0-94.3543929,3
41.703156,+AC0-71.5283945,1
34.1742611,+AC0-97.1436254,2
18.402239,+AC0-66.7114,10
35.554258,+AC0-92.192281,1
41.8964014,+AC0-87.6209646,2
33.52077,+AC0-117.694334,1
40.5325815,+AC0-91.5664808,1
34.0700794,135.1910056,1
32.7890359,+AC0-92.9576596,2
10.2534632,+AC0-75.3427213,2
34.1209292,+AC0-93.053784,1
37.0622562,+AC0-97.0388338,2
42.0811563,+AC0-87.9802164,4
41.4736452,+AC0-89.2492531,1
36.7903347,+AC0-89.012842,1
32.701939,+AC0-97.1056237903,4
32.701939,+AC0-97.1056237903,9
32.701939,+AC0-97.1056237903,9
43.073306,+AC0-73.1492662399,1
36.315894,+AC0-119.7024315,1
29.7719082,+AC0-82.555392,1
41.6625737,+AC0-77.1230256,1
23.060771,+AC0-82.3417806,5
33.8690197,+AC0-118.0796195,4
33.41645895,+AC0-88.6439528166,1
39.8005505,+AC0-105.0811573,1
40.2203907,+AC0-74.0120817,1
36.2334209,+AC0-91.6112681672,1
39.0300191,+AC0-77.4696464656,2
35.6009498,+AC0-82.5540161,11
38.4784144,+AC0-82.6379387,5
38.4784144,+AC0-82.6379387,1
42.3036956,+AC0-74.3334789,1
40.8686147,+AC0-82.3175942,3
42.1972487,+AC0-122.7153995,2
33.2737256,+AC0-85.8360741,4
46.2062319,+AC0-90.6802594,2
38.3294942,+AC0-89.1909097,1
33.1742582,+AC0-91.7295595,1
41.2119643,+AC0-75.9005283,1
39.5330909,+AC0-88.0222582,1
41.865054,+AC0-80.789809,4
43.311362,+AC0-95.791128,1
39.5203188,+AC0-89.0489712,1
40.7720145,+AC0-73.9302673,7
46.187885,+AC0-123.831256,2
35.4894169,+AC0-120.6707255,2
39.545816,+AC0-95.3326052,1
34.745419,+AC0-86.974795456,1
33.9597677,+AC0-83.376398,8
39.9608826,+AC0-89.7239944,1
39.3289242,+AC0-82.1012479,1
34.745419,+AC0-86.974795456,1
35.4428864,+AC0-84.5930113,1
32.2044416,+AC0-95.854914,1
39.1861153,+AC0-94.3055037,2
35.778959,+AC0-78.701529,1
42.5797194,+AC0-72.2159994,1
35.2464719,+AC0-92.9365581,2
33.7489924,+AC0-84.3902644,82
40.2596504,+AC0-89.2332466,1
33.1162131,+AC0-94.1663493,3
39.3642852,+AC0-74.4229351,3
40.4078865,+AC0-74.034306,2
41.4036007,+AC0-95.0138776,1
34.383855,+AC0-96.1289831,1
+AC0-32.0240443,115.8035193,1
41.9438129,+AC0-71.2806515,2
37.353521,+AC0-120.6031093008,1
44.405058,+AC0-83.3345210718,1
32.562842,+AC0-85.515516,2
38.8945939,+AC0-121.0739897,1
39.5917197,+AC0-89.7464874,1
33.6555483,+AC0-117.6440613,1
32.541478,+AC0-85.5346465064,1
44.0978509,+AC0-70.2311655,2
42.9320202,+AC0-76.5672029,7
28.0652975,+AC0-81.7886906,1
44.6277071,+AC0-90.0087206,1
40.9106414,+AC0-75.991593,1
39.96101505,+AC0-75.6194035061,1
46.863292,+AC0-95.981718,1
33.4709714,+AC0-81.9748429,12
44.310545,+AC0-69.7792759,2
41.1289854,+AC0-74.72822,1
42.9747916,+AC0-75.5012871,1
42.71276,+AC0-95.4366701,1
